Step,Train Loss,Train Accuracy,Step Time (s)
145,1.019030872528124,0.785,161.1254210472107
146,1.0163106308867453,0.787,161.47603106498718
147,1.0135981689987543,0.791,161.87771272659302
148,1.0108936853210715,0.793,161.5340142250061
149,1.0081974142561767,0.797,161.23804330825806
150,1.0055096251314684,0.799,154.9725158214569
151,1.0028306208053868,0.799,154.92260599136353
152,1.0001607359127056,0.802,154.88388514518738
153,0.9975003347655719,0.802,155.23897504806519
154,0.9948498089331573,0.802,155.4504828453064
155,0.9922095745286303,0.804,155.31791305541992
156,0.9895800692329872,0.806,155.51137518882751
157,0.9869617490929989,0.808,155.26505279541016
158,0.9843550851293982,0.81,155.42890286445618
159,0.9817605597970109,0.811,155.45062899589539
160,0.9791786633376811,0.816,155.72385120391846
161,0.9766098900675938,0.821,155.49207592010498
162,0.9740547346418225,0.823,154.28040981292725
163,0.9715136883365679,0.825,154.1883020401001
164,0.9689872353881327,0.826,154.1684238910675
165,0.9664758494266916,0.83,154.6389410495758
166,0.9639799900394298,0.83,154.426087141037
167,0.9615000994933672,0.832,154.11724615097046
168,0.9590365996481917,0.834,154.2273290157318
169,0.9565898890818944,0.836,154.31927514076233
170,0.9541603404513436,0.836,154.34014916419983
171,0.9517482981036312,0.839,154.41283512115479
172,0.9493540759529212,0.84,156.4801630973816
173,0.9469779556315185,0.842,160.75332403182983
174,0.9446201849211777,0.842,160.137775182724
175,0.9422809764678944,0.843,161.27195692062378
176,0.9399605067785579,0.844,160.9842791557312
177,0.9376589154979821,0.843,160.23563385009766
178,0.9353763049575969,0.847,160.4481930732727
179,0.9331127399890057,0.85,160.37533020973206
180,0.9308682479914427,0.855,160.59586691856384
181,0.9286428192400374,0.855,161.7937250137329
182,0.9264364074212087,0.857,159.37476205825806
183,0.9242489303792848,0.859,160.47099900245667
184,0.9220802710582351,0.859,161.9774308204651
185,0.9199302786204204,0.86,162.49566102027893
186,0.9177987697256271,0.862,162.62483096122742
187,0.915685529950689,0.864,163.67696809768677
188,0.9135903153319018,0.866,163.41327095031738
189,0.9115128540123326,0.866,163.16117882728577
190,0.9094528479749169,0.867,163.35017108917236
191,0.9074099748450696,0.868,163.5805139541626
192,0.9053838897442839,0.868,162.61655187606812
193,0.9033742271796662,0.868,162.83977699279785
194,0.9013806029537231,0.868,162.4689121246338
195,0.8994026160797022,0.869,160.88459706306458
196,0.89743985069015,0.869,160.82774877548218
197,0.8954918779245278,0.87,160.84695291519165
198,0.8935582577884353,0.872,160.43915796279907
199,0.8916385409711726,0.876,160.45012998580933
200,0.8897322706154474,0.878,160.4630012512207
201,0.8878389840315868,0.883,159.40691614151
202,0.8859582143498281,0.883,159.5678288936615
203,0.8840894921060151,0.887,159.86839985847473
204,0.8822323467576231,0.889,160.55000281333923
205,0.8803863081266114,0.889,158.20961904525757
206,0.8785509077678322,0.89,156.60666680335999
207,0.8767256802618862,0.892,156.20024490356445
208,0.8749101644327835,0.892,156.54311299324036
209,0.8731039044909982,0.893,156.4090769290924
210,0.8713064511024594,0.896,156.6231029033661
211,0.8695173623860937,0.899,156.67242097854614
212,0.8677362048416364,0.899,156.6466519832611
213,0.8659625542102114,0.899,156.71119379997253
214,0.8641959962704956,0.901,156.42453622817993
215,0.8624361275735183,0.903,156.39377093315125
